2019.06.16 12:53:45.603 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:45.639 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:46.603 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:46.639 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:47.604 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:47.640 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:48.604 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:48.641 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:48.897 INFO  Server.Server - Client excepted: Socket[addr=/192.168.3.1,port=61722,localport=5400]
2019.06.16 12:53:48.897 INFO  Server.Server - Client is connected to server (IP: ziv-PC/192.168.3.1, port: 5400)
2019.06.16 12:53:48.897 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.3.1,port=61722,localport=5400]
2019.06.16 12:53:48.898 INFO  Server.Server - Server generating 10 by 10 maze
2019.06.16 12:53:48.900 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.3.1,port=61722,localport=5400]
2019.06.16 12:53:49.642 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:49.898 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:50.643 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:50.898 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:51.643 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:51.899 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:52.643 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:52.899 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:53.643 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:53.899 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:54.644 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:54.750 INFO  Server.Server - Client is connected to server (IP: ziv-PC/192.168.3.1, port: 5400)
2019.06.16 12:53:54.750 INFO  Server.Server - Client excepted: Socket[addr=/192.168.3.1,port=61723,localport=5400]
2019.06.16 12:53:54.751 INFO  Server.Server - Handling client with socket: Socket[addr=/192.168.3.1,port=61723,localport=5400]
2019.06.16 12:53:54.752 INFO  Server.Server - Server generating 10 by 10 maze
2019.06.16 12:53:54.754 INFO  Server.Server - Finished handle client: Socket[addr=/192.168.3.1,port=61723,localport=5400]
2019.06.16 12:53:55.645 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:55.751 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:56.645 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:56.752 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:57.646 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:57.752 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:58.647 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:58.752 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:59.647 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:53:59.753 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:00.648 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:00.753 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:01.648 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:01.754 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:02.648 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:02.754 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:03.649 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:03.755 DEBUG Server.Server - Socket Timeout - No clients pending!
2019.06.16 12:54:03.847 INFO  Server.Server - Stopping server..
